iter	Passed	Remaining
342	819	1570
343	821	1567
344	823	1563
345	825	1559
346	826	1555
347	827	1551
348	829	1546
349	830	1542
350	831	1537
351	833	1533
352	834	1529
353	835	1525
354	837	1521
355	838	1517
356	839	1512
357	841	1508
358	842	1504
359	843	1500
360	845	1495
361	846	1491
362	847	1487
363	848	1482
364	849	1478
365	851	1474
366	852	1469
367	853	1465
368	854	1461
369	856	1457
370	857	1453
371	858	1449
372	860	1445
373	861	1441
374	862	1437
375	863	1433
376	865	1430
377	866	1426
378	868	1422
379	869	1419
380	871	1415
381	872	1411
382	873	1407
383	874	1403
384	875	1398
385	876	1394
386	877	1390
387	879	1386
388	880	1382
389	882	1379
390	883	1375
391	884	1371
392	885	1368
393	887	1364
394	888	1361
395	889	1357
396	890	1353
397	892	1349
398	894	1346
399	895	1342
400	896	1339
401	897	1335
402	898	1331
403	900	1328
404	901	1324
405	902	1320
406	904	1317
407	905	1313
408	906	1310
409	907	1306
410	909	1303
411	910	1299
412	912	1296
413	913	1292
414	914	1289
415	916	1285
416	917	1282
417	918	1278
418	919	1275
419	921	1272
420	922	1268
421	923	1265
422	925	1261
423	926	1258
424	927	1255
425	929	1251
426	930	1248
427	931	1245
428	933	1242
429	934	1238
430	936	1236
431	937	1232
432	938	1229
433	940	1227
434	942	1223
435	943	1220
436	944	1217
437	946	1214
438	947	1210
439	948	1207
440	949	1204
441	951	1200
442	952	1197
443	953	1194
444	955	1191
445	956	1187
446	957	1184
447	958	1181
448	960	1178
449	961	1174
450	962	1171
451	963	1168
452	965	1165
453	966	1162
454	967	1159
